verso,cancion
y el reloj en tu puño marcó las tres.,LEDA - VIERNES 3 AM
El sueño de un sol y de un mar,LEDA - VIERNES 3 AM
y una vida peligrosa,LEDA - VIERNES 3 AM
cambiando lo amargo por miel,LEDA - VIERNES 3 AM
y la gris ciudad por rosas,LEDA - VIERNES 3 AM
"te hace bien, tanto como hace mal",LEDA - VIERNES 3 AM
"te hace odiar, tanto como querer y más.",LEDA - VIERNES 3 AM
Cambiaste de tiempo y de amor,LEDA - VIERNES 3 AM
y de música y de ideas,LEDA - VIERNES 3 AM
Cambiaste de sexo y de Dios,LEDA - VIERNES 3 AM
de color y de fronteras,LEDA - VIERNES 3 AM
"pero en sí, nada más cambiarás",LEDA - VIERNES 3 AM
y un sensual abandono vendrá y el fin.,LEDA - VIERNES 3 AM
Y llevas el caño a tu sien,LEDA - VIERNES 3 AM
apretando bien las muelas,LEDA - VIERNES 3 AM
y cierras los ojos y ves,LEDA - VIERNES 3 AM
todo el mar en primavera,LEDA - VIERNES 3 AM
"bang, bang, bang",LEDA - VIERNES 3 AM
"hojas muertas que caen,",LEDA - VIERNES 3 AM
"siempre igual,",LEDA - VIERNES 3 AM
los que no pueden más,LEDA - VIERNES 3 AM
se van.,LEDA - VIERNES 3 AM
Por qué no vienes hasta mí,DE LA REVOLUCIÓN
por qué no puedo amarte,DE LA REVOLUCIÓN
por qué no vienes hasta mí,DE LA REVOLUCIÓN
por qué no cambias como el sol,DE LA REVOLUCIÓN
por qué eres tan distante,DE LA REVOLUCIÓN
por qué no cambias como el sol,DE LA REVOLUCIÓN
Me siento solo y confundido a la vez,DE LA REVOLUCIÓN
los analistas no podrán entender,DE LA REVOLUCIÓN
ya no sé bien que decir,DE LA REVOLUCIÓN
ya no sé más que hacer,DE LA REVOLUCIÓN
todo el mundo loco y yo sin poderte ver,DE LA REVOLUCIÓN
"pero si insisto, yo sé muy bien, te conseguiré",DE LA REVOLUCIÓN
Cerca de la revolución,DE LA REVOLUCIÓN
el pueblo pide sangre,DE LA REVOLUCIÓN
cerca de la revolución,DE LA REVOLUCIÓN
yo estoy cantando esta canción,DE LA REVOLUCIÓN
que alguna vez fue hambre,DE LA REVOLUCIÓN
yo estoy cantando esta canción,DE LA REVOLUCIÓN
Y si mañana es como ayer otra vez,DE LA REVOLUCIÓN
lo que fue hermoso será horrible,DE LA REVOLUCIÓN
"después, no es sólo una cuestión de elecciones",DE LA REVOLUCIÓN
"no elegí este mundo, pero aprendí a querer",DE LA REVOLUCIÓN
"pero si insisto yo sé muy bien, te conseguiré",DE LA REVOLUCIÓN
Si estas palabras te pudieran dar fe,DE LA REVOLUCIÓN
si esta armonía te ayudara a creer,DE LA REVOLUCIÓN
"yo sería tan feliz, tan feliz en el mundo,",DE LA REVOLUCIÓN
"que moriría, arrodillado a tus pies",DE LA REVOLUCIÓN
"pero si insisto, yo sé muy bien, te conseguiré",DE LA REVOLUCIÓN
"Por favor,",SOBRE EL BIDET
no hagas promesas sobre el bidet,SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
no me abras más los sobres,SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
yo te prometo te escribiré,SOBRE EL BIDET
si es que paras de correr,SOBRE EL BIDET
"Por favor,",SOBRE EL BIDET
sigue la sombra de mi bebé,SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
"no bebas más, no llores",SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
yo te prometo te escribiré,SOBRE EL BIDET
si es que para de llover,SOBRE EL BIDET
Porque me tratas tan bien,SOBRE EL BIDET
me tratas tan mal,SOBRE EL BIDET
sabes que no aprendí a vivir,SOBRE EL BIDET
A veces estoy tan bien,SOBRE EL BIDET
estoy tan down,SOBRE EL BIDET
calambres en el alma,SOBRE EL BIDET
cada cual tiene un trip,SOBRE EL BIDET
en el bocho,SOBRE EL BIDET
difícil que lleguemos,SOBRE EL BIDET
a ponernos,SOBRE EL BIDET
"de acuerdo, de acuerdo",SOBRE EL BIDET
Acabo de llegar,SOY UN EXTRAÑO
no soy un extraño,SOY UN EXTRAÑO
conozco esta ciudad,SOY UN EXTRAÑO
no es como en los diarios,SOY UN EXTRAÑO
desde allá,SOY UN EXTRAÑO
"Dos tipos en un bar,",SOY UN EXTRAÑO
se toman las manos,SOY UN EXTRAÑO
prenden un grabador,SOY UN EXTRAÑO
y bailan un tango,SOY UN EXTRAÑO
de verdad,SOY UN EXTRAÑO
Y yo los miro sin querer mirar,SOY UN EXTRAÑO
enciendo un faso para despistar,SOY UN EXTRAÑO
me quedo piola y empiezo a pensar,SOY UN EXTRAÑO
que no hay que pescar,SOY UN EXTRAÑO
dos veces con la misma red,SOY UN EXTRAÑO
Acabo de mirar las luces que pasan,SOY UN EXTRAÑO
acabo de cruzar las plazas las rayas y el Colón,SOY UN EXTRAÑO
Y siento un aroma poco familiar,SOY UN EXTRAÑO
alguien se acerca y comienza a hablar,SOY UN EXTRAÑO
Me quedo piola y digo que tal,SOY UN EXTRAÑO
vamos a pescar,SOY UN EXTRAÑO
dos veces con la misma red,SOY UN EXTRAÑO
Desprejuiciados son los que vendrán,SOY UN EXTRAÑO
y los que están ya no me importan más,SOY UN EXTRAÑO
los carceleros de la humanidad,SOY UN EXTRAÑO
no me atraparán,SOY UN EXTRAÑO
dos veces con la misma red.,SOY UN EXTRAÑO
Los amigos del barrio pueden desaparecer,DINOSAURIOS
los cantores de radio pueden desaparecer,DINOSAURIOS
los que están en los diarios pueden desaparecer,DINOSAURIOS
la persona que amas puede desaparecer.,DINOSAURIOS
Los que están en el aire,DINOSAURIOS
pueden desaparecer en el aire,DINOSAURIOS
los que están en la calle,DINOSAURIOS
pueden desaparecer en la calle.,DINOSAURIOS
"Los amigos del barrio pueden desaparecer,",DINOSAURIOS
pero los dinosaurios van a desaparecer.,DINOSAURIOS
"No estoy tranquilo mi amor,",DINOSAURIOS
"hoy es sábado a la noche,",DINOSAURIOS
un amigo está en cana.,DINOSAURIOS
Oh mi amor,DINOSAURIOS
desaparece el mundo,DINOSAURIOS
Si los pesados mi amor llevan,DINOSAURIOS
todo ese montón de equipajes en la mano,DINOSAURIOS
oh mi amor yo quiero estar liviano.,DINOSAURIOS
Cuando el mundo tira para abajo,DINOSAURIOS
yo no quiero estar atado a nada,DINOSAURIOS
imaginen a los dinosaurios en la cama,DINOSAURIOS
Cuando el mundo tira para abajo,DINOSAURIOS
yo no quiero estar atado a nada,DINOSAURIOS
imaginen a los dinosaurios en la cama,DINOSAURIOS
Los amigos del barrio,DINOSAURIOS
pueden desaparecer,DINOSAURIOS
los cantores de radio,DINOSAURIOS
pueden desaparecer,DINOSAURIOS
los que están en los diarios,DINOSAURIOS
pueden desaparecer,DINOSAURIOS
la persona que amas,DINOSAURIOS
puede desaparecer.,DINOSAURIOS
Los que están en el aire,DINOSAURIOS
pueden desaparecer en el aire,DINOSAURIOS
los que están en la calle,DINOSAURIOS
pueden desaparecer en la calle.,DINOSAURIOS
Los amigos del barrio,DINOSAURIOS
"pueden desaparecer,",DINOSAURIOS
pero los dinosaurios,DINOSAURIOS
van a desaparecer.,DINOSAURIOS
Yo nunca fui a New York,CHIPI
no sé lo que es París,CHIPI
vivo bajo la tierra,CHIPI
vivo dentro de mi,CHIPI
Yo no tengo un espejo,CHIPI
no tengo un souvenir,CHIPI
la lágrima me habla,CHIPI
y está dentro de mi,CHIPI
Yo solo tengo esta pobre antena,CHIPI
que me transmite lo que decís,CHIPI
"una canción, mi ilusión, mis penas,",CHIPI
y este souvenir.,CHIPI
Yo subo la escalera,CHIPI
yo cumplo una misión,CHIPI
la lágrima me dice,CHIPI
que yo tampoco soy,CHIPI
la hija de una amor,CHIPI
la hija del dolor,CHIPI
la hija que no espera,CHIPI
tu tiempo se acabó,CHIPI
Si este dolor durará por siempre,CHIPI
no digas nada vete de aquí,CHIPI
porque yo estoy donde nunca voy,CHIPI
donde nunca fui,CHIPI
Tomalo con calma,CHIPI
la cosa es así,CHIPI
ya se hace de noche,CHIPI
me tengo que ir,CHIPI
Chipi chipi chipi,CHIPI
chipi bombón bombón,CHIPI
bombón,CHIPI
chipi chipi bombón,CHIPI
Ya no te pienso esperar por siempre,CHIPI
porque el mercurio lo tengo aquí,CHIPI
"ya no digas mas palabras, men",CHIPI
ya me voy de aquí,CHIPI
Y no te olvides nunca que..,CHIPI
.,CHIPI
Esta canción durará por siempre,CHIPI
por eso mismo yo la hice así,CHIPI
una canción sin amor,CHIPI
sin dolor,CHIPI
la canción sin fin.,CHIPI
A donde voy no llego,SAL NO SALA
a donde estoy resbalo,SAL NO SALA
no es porque sea bueno,SAL NO SALA
tampoco soy tan malo,SAL NO SALA
