verso,cancion
burlarte de los ilusionistas.,"LLORES POR MÍ, ARGENTINA"
No llores por las heridas,"LLORES POR MÍ, ARGENTINA"
que no paran de sangrar.,"LLORES POR MÍ, ARGENTINA"
"no llores por mí, Argentina","LLORES POR MÍ, ARGENTINA"
te quiero cada días más.,"LLORES POR MÍ, ARGENTINA"
Estás enferma de frustración,"LLORES POR MÍ, ARGENTINA"
y en tu locura no hay acuerdo.,"LLORES POR MÍ, ARGENTINA"
una hiena al reír,"LLORES POR MÍ, ARGENTINA"
pero al almuerzo con los cerdos.,"LLORES POR MÍ, ARGENTINA"
Si las estrellas de cabaret,"LLORES POR MÍ, ARGENTINA"
se ríen de tus movimientos,"LLORES POR MÍ, ARGENTINA"
no es preciso mentir,"LLORES POR MÍ, ARGENTINA"
la mierda que hay en tus pensamientos,"LLORES POR MÍ, ARGENTINA"
No llores por las heridas,"LLORES POR MÍ, ARGENTINA"
que no paran de sangrar.,"LLORES POR MÍ, ARGENTINA"
"no llores por mí, Argentina","LLORES POR MÍ, ARGENTINA"
"te quiero cada día,","LLORES POR MÍ, ARGENTINA"
te quiero cada día más.,"LLORES POR MÍ, ARGENTINA"
Alguien se quiere ir.,"LLORES POR MÍ, ARGENTINA"
alguien quiere volver,"LLORES POR MÍ, ARGENTINA"
alguien que está atrapado,"LLORES POR MÍ, ARGENTINA"
en el medio de un recuerdo.,"LLORES POR MÍ, ARGENTINA"
Esto yo ya lo vi,"LLORES POR MÍ, ARGENTINA"
esto ya lo escuché,"LLORES POR MÍ, ARGENTINA"
ella no quiere ser amiga,"LLORES POR MÍ, ARGENTINA"
de un chico de este pueblo.,"LLORES POR MÍ, ARGENTINA"
No llores por las heridas,"LLORES POR MÍ, ARGENTINA"
que no paran de sangrar.,"LLORES POR MÍ, ARGENTINA"
"no llores por mí, Argentina","LLORES POR MÍ, ARGENTINA"
"te quiero cada día,","LLORES POR MÍ, ARGENTINA"
te quiero cada día más.,"LLORES POR MÍ, ARGENTINA"
Yo que nací con Videla,HOTELES
yo que nací sin poder,HOTELES
yo que luché por la libertad,HOTELES
y nunca la pude tener,HOTELES
Yo que viví entre fachistas,HOTELES
yo que morí en el altar,HOTELES
yo que crecí con los que estaban bien,HOTELES
pero a la noche estaba todo mal.,HOTELES
"Hoy pasó el tiempo,",HOTELES
demoliendo hoteles,HOTELES
mientras los plomos juntan los cables,HOTELES
cazan rehenes.,HOTELES
Hoy pasó el tiempo,HOTELES
demoliendo hoteles,HOTELES
mientras los chicos allá en la esquina,HOTELES
pegan carteles.,HOTELES
Yo fui educado con odio,HOTELES
y odiaba la humanidad,HOTELES
un día me fui con los hippies,HOTELES
y tuve un amor y mucho más.,HOTELES
"Ahora no estoy más tranquilo,",HOTELES
y por qué tendría que estar,HOTELES
todos crecimos sin entender,HOTELES
y todavía me siento un anormal,HOTELES
"Hoy pasó el tiempo,",HOTELES
demoliendo hoteles,HOTELES
mientras los plomos juntan los cables,HOTELES
cazan rehenes.,HOTELES
Hoy pasó el tiempo,HOTELES
demoliendo hoteles,HOTELES
mientras los chicos allá en la esquina,HOTELES
pegan carteles.,HOTELES
Están muertos,TOQUEN
están muertos,TOQUEN
están muertos.,TOQUEN
Están muertos,TOQUEN
están muertos,TOQUEN
están muertos.,TOQUEN
Váyanse de aquí,TOQUEN
váyanse de aquí,TOQUEN
váyanse.,TOQUEN
Muertos.,TOQUEN
No me toquen mis discos,TOQUEN
no me toquen mi ajuar,TOQUEN
no me toquen las manos,TOQUEN
ya no me toquen,TOQUEN
No!,TOQUEN
Están muertos,TOQUEN
están muertos,TOQUEN
están muertos.,TOQUEN
Están muertos,TOQUEN
están muertos,TOQUEN
están muertos.,TOQUEN
Sáquenme de aquí,TOQUEN
Sáquenme de aquí,TOQUEN
sáquenme,TOQUEN
Ya no me toquen no!,TOQUEN
No toquen,TOQUEN
no toquen,TOQUEN
no toquen,TOQUEN
no.,TOQUEN
No toquen,TOQUEN
no quiero que me toquen,TOQUEN
no toquen no!,TOQUEN
No toquen,TOQUEN
no toquen,TOQUEN
no toquen,TOQUEN
no.,TOQUEN
No toquen,TOQUEN
no quiero que me toquen,TOQUEN
ya no me toquen,TOQUEN
no!,TOQUEN
Oh no puedes ser feliz,A TU CORAZÓN
con tanta gente hablando a tu alrededor,A TU CORAZÓN
oh dame tu amor a mí,A TU CORAZÓN
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
"Cuando estás muy sola, sola en la calle",A TU CORAZÓN
"con tanta gente hablando, hablando a tu alrededor",A TU CORAZÓN
necesitas a alguien que te acompañe,A TU CORAZÓN
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
No importa el lenguaje ni las palabras,A TU CORAZÓN
ni las fronteras que separan a nuestro amor,A TU CORAZÓN
quiero que me escuches y que te abras,A TU CORAZÓN
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
"""Y tal vez tu auto chocó la otra mañana",EN EL MUNDO PIENSA EN MÍ
y recién extrañarás a tu perro el día,EN EL MUNDO PIENSA EN MÍ
"de su cumpleaños""",EN EL MUNDO PIENSA EN MÍ
Yo tengo un gato,EN EL MUNDO PIENSA EN MÍ
Yo se que no soy culpable,EN EL MUNDO PIENSA EN MÍ
Yo se que ahora soy feliz,EN EL MUNDO PIENSA EN MÍ
Yo se que quería que alguien,EN EL MUNDO PIENSA EN MÍ
Alguien en el mundo piensa en mi,EN EL MUNDO PIENSA EN MÍ
Yo se que soy inbancable,EN EL MUNDO PIENSA EN MÍ
Yo se que te hice reir,EN EL MUNDO PIENSA EN MÍ
Yo se soy insoportable,EN EL MUNDO PIENSA EN MÍ
Pero alguien en el mundo piensa en mi,EN EL MUNDO PIENSA EN MÍ
Nada que hacer,EN EL MUNDO PIENSA EN MÍ
Nada que ver,EN EL MUNDO PIENSA EN MÍ
Solo vemos las películas nena,EN EL MUNDO PIENSA EN MÍ
Nada que hacer nada que ver,EN EL MUNDO PIENSA EN MÍ
La vanguardia en Argentina,EN EL MUNDO PIENSA EN MÍ
Yo sé que soy imbancable,EN EL MUNDO PIENSA EN MÍ
yo sé que no soy feliz,EN EL MUNDO PIENSA EN MÍ
yo sé que soy un amable traidor,EN EL MUNDO PIENSA EN MÍ
pero alguien en el mundo piensa en mí,EN EL MUNDO PIENSA EN MÍ
Bien por mi!,EN EL MUNDO PIENSA EN MÍ
Alguien en el mundo piensa en mí,EN EL MUNDO PIENSA EN MÍ
piensa en mi,EN EL MUNDO PIENSA EN MÍ
piensa en mi,EN EL MUNDO PIENSA EN MÍ
piensa en mi,EN EL MUNDO PIENSA EN MÍ
Este es el aguante,AGUANTE
hasta yo lo vi,AGUANTE
este es el aguante,AGUANTE
decímelo a mí,AGUANTE
Este es el aguante,AGUANTE
considéralo,AGUANTE
este es el aguante,AGUANTE
te lo digo yo,AGUANTE
"Aguante, aguante, aguante, aguante",AGUANTE
"aguante, aguante, aguante, aguante",AGUANTE
Aguanta Sofía,AGUANTE
aguanta Javier,AGUANTE
aguante la quía,AGUANTE
aguanta también,AGUANTE
Y si no te gusta,AGUANTE
te podés matar,AGUANTE
este es el aguante,AGUANTE
este es mi lugar,AGUANTE
Aguante el aguante,AGUANTE
"Aguante, aguante, aguante, aguante",AGUANTE
"aguante, aguante, aguante, aguante",AGUANTE
Este es el aguante,AGUANTE
hasta yo lo vi,AGUANTE
decímelo a mí,AGUANTE
Este es el aguante,AGUANTE
consideralo,AGUANTE
este es el aguante,AGUANTE
esto es rock & roll,AGUANTE
Podés pasear en limousine,DE LA CAMA AL LIVING
cortar las flores del jardín,DE LA CAMA AL LIVING
podés cambiar el sol,DE LA CAMA AL LIVING
y esconderte si no quieres verme.,DE LA CAMA AL LIVING
Puedes ver amanecer,DE LA CAMA AL LIVING
con caviar desde un hotel,DE LA CAMA AL LIVING
y no tienes un poquito de amor para dar.,DE LA CAMA AL LIVING
Yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
yendo de la cama al living.,DE LA CAMA AL LIVING
Podés saltar de un trampolín,DE LA CAMA AL LIVING
batir un record en patín,DE LA CAMA AL LIVING
"podés hacer un gol,",DE LA CAMA AL LIVING
podés llevar tu luna al cielo,DE LA CAMA AL LIVING
Puedes ser un gran campeón,DE LA CAMA AL LIVING
jugar en la selección,DE LA CAMA AL LIVING
y no tienes un poquito de amor para dar.,DE LA CAMA AL LIVING
Yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
yendo de la cama al living.,DE LA CAMA AL LIVING
Oh no no no,DE LA CAMA AL LIVING
no hay ninguna vibración,DE LA CAMA AL LIVING
aunque vives en el mundo de cine,DE LA CAMA AL LIVING
no hay señales de algo que vive en mí.,DE LA CAMA AL LIVING
Voy yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
voy yendo de la cama al living.,DE LA CAMA AL LIVING
"Nace una flor, todos los días sale el sol",COLECTIVO
de vez en cuando escuchas aquella voz.,COLECTIVO
"Cómo de pan, gustosa de cantar,",COLECTIVO
en los aleros de mi mente con las chicharras.,COLECTIVO
Pero a la vez existe un transformador,COLECTIVO
que te consume lo mejor que tenés,COLECTIVO
"te tira atrás, te pide más y más",COLECTIVO
y llega un punto en que no querés.,COLECTIVO
"Mamá la libertad, siempre la llevarás",COLECTIVO
dentro del corazón,COLECTIVO
te pueden corromper,COLECTIVO
te puedes olvidar,COLECTIVO
pero ella siempre está,COLECTIVO
"Mamá la libertad, siempre la llevarás",COLECTIVO
dentro del corazón,COLECTIVO
te pueden corromper,COLECTIVO
te puedes olvidar,COLECTIVO
pero ella siempre está,COLECTIVO
"Ayer soñé con los hambrientos, los locos,",COLECTIVO
"los que se fueron, los que están en prisión",COLECTIVO
hoy desperté cantando esta canción,COLECTIVO
que ya fue escrita hace tiempo atrás.,COLECTIVO
"Es necesario cantar de nuevo,",COLECTIVO
una vez más.,COLECTIVO
"Mamá la libertad, siempre la llevarás",COLECTIVO
dentro del corazón,COLECTIVO
te pueden corromper,COLECTIVO
te puedes olvidar,COLECTIVO
pero ella siempre está,COLECTIVO
"Mamá la libertad, siempre la llevarás",COLECTIVO
dentro del corazón,COLECTIVO
te pueden corromper,COLECTIVO
te puedes olvidar,COLECTIVO
pero ella siempre está.,COLECTIVO
Estás buscando direcciones,3SUPERHÉROES
en libros para cocinar,3SUPERHÉROES
estás mezclando,3SUPERHÉROES
el dulce con la sal.,3SUPERHÉROES
Vas procurando informaciones,3SUPERHÉROES
en unas cajas de metal,3SUPERHÉROES
estás comprando,3SUPERHÉROES
al mundo en un bazar.,3SUPERHÉROES
"Mirando superhéroes, superstars",3SUPERHÉROES
"te sientes superloca, supermal.",3SUPERHÉROES
Veo las sirvientas en la plaza,3SUPERHÉROES
vestidas para enamorar,3SUPERHÉROES
viviendo cien años de soledad.,3SUPERHÉROES
"No pasa nada, nadie pasa",3SUPERHÉROES
sólo una banda militar,3SUPERHÉROES
desafinando el tiempo y el compás.,3SUPERHÉROES
Y entonces mírame a mí,3SUPERHÉROES
tratando que se muevan éstos pies,3SUPERHÉROES
"bajo la luz, tocando hasta el amanecer.",3SUPERHÉROES
No te quedés en casa,3SUPERHÉROES
porque el baile va a empezar,3SUPERHÉROES
"quiero verte, verte otra vez.",3SUPERHÉROES
Hay un horrible monstruo con peluca,3SUPERHÉROES
que es dueño en parte de esta ciudad de locos.,3SUPERHÉROES
Hace que baila con la banda en la ruta,3SUPERHÉROES
pero en verdad les roba el oro,3SUPERHÉROES
y les da unas prostitutas.,3SUPERHÉROES
Estás limpiando las cenizas,3SUPERHÉROES
de nuestro breve carnaval,3SUPERHÉROES
ya estamos en camino a otra ciudad.,3SUPERHÉROES
Ya ves no somos ni turistas ni artistas,3SUPERHÉROES
de sonrisa y frac,3SUPERHÉROES
formamos parte de tu realidad,3SUPERHÉROES
Y entonces mírame a mí,3SUPERHÉROES
tratando que se muevan éstos pies,3SUPERHÉROES
"bajo la luz, tocando hasta el amanecer.",3SUPERHÉROES
No te quedés en casa,3SUPERHÉROES
porque el baile va a empezar,3SUPERHÉROES
"quiero verte, verte otra vez.",3SUPERHÉROES
Yo no quiero volverme tan loco,NO QUIERO VOLVERME TAN LOCO
yo no quiero vestirme de rojo,NO QUIERO VOLVERME TAN LOCO
yo no quiero morir en el mundo hoy,NO QUIERO VOLVERME TAN LOCO
Yo no quiero ya verte tan triste,NO QUIERO VOLVERME TAN LOCO
yo no quiero saber lo que hiciste,NO QUIERO VOLVERME TAN LOCO
yo no quiero esta pena en mi corazón,NO QUIERO VOLVERME TAN LOCO
Escucho el beat de un tambor,NO QUIERO VOLVERME TAN LOCO
entre la desolación,NO QUIERO VOLVERME TAN LOCO
y una radio en una calle desierta,NO QUIERO VOLVERME TAN LOCO
Están las puertas cerradas,NO QUIERO VOLVERME TAN LOCO
y las ventanas también,NO QUIERO VOLVERME TAN LOCO
no será que nuestra gente está muerta?,NO QUIERO VOLVERME TAN LOCO
Presiento el fin de un amor,NO QUIERO VOLVERME TAN LOCO
en la era del color,NO QUIERO VOLVERME TAN LOCO
la televisión esta en las vidrieras,NO QUIERO VOLVERME TAN LOCO
Toda esa gente parada,NO QUIERO VOLVERME TAN LOCO
que tiene grasa en la piel,NO QUIERO VOLVERME TAN LOCO
no se entera ni que el mundo da vueltas,NO QUIERO VOLVERME TAN LOCO
Yo no quiero meterme en problemas,NO QUIERO VOLVERME TAN LOCO
yo no quiero asuntos que queman,NO QUIERO VOLVERME TAN LOCO
yo tan solo les digo que es un bajón,NO QUIERO VOLVERME TAN LOCO
Yo no quiero sembrar la anarquía,NO QUIERO VOLVERME TAN LOCO
yo no quiero vivir como digan,NO QUIERO VOLVERME TAN LOCO
tengo algo que late en mi corazón,NO QUIERO VOLVERME TAN LOCO
Escucho un tango y un rock,NO QUIERO VOLVERME TAN LOCO
y presiento que soy yo,NO QUIERO VOLVERME TAN LOCO
y quisiera ver al mundo de fiesta,NO QUIERO VOLVERME TAN LOCO
Veo tantas chicas castradas,NO QUIERO VOLVERME TAN LOCO
y tantos tontos que al fin,NO QUIERO VOLVERME TAN LOCO
yo no sé si vivir dando respuesta,NO QUIERO VOLVERME TAN LOCO
Yo quiero ver muchos más,NO QUIERO VOLVERME TAN LOCO
delirantes por ahí,NO QUIERO VOLVERME TAN LOCO
bailando en una calle cualquiera,NO QUIERO VOLVERME TAN LOCO
En Buenos Aires se ve,NO QUIERO VOLVERME TAN LOCO
que ya no hay tiempo de más,NO QUIERO VOLVERME TAN LOCO
la alegría no es solo brasilera,NO QUIERO VOLVERME TAN LOCO
no mi amor,NO QUIERO VOLVERME TAN LOCO
Yo no quiero vivir paranoico,NO QUIERO VOLVERME TAN LOCO
yo no quiero ver chicos con odio,NO QUIERO VOLVERME TAN LOCO
yo no quiero sentir esta depresión,NO QUIERO VOLVERME TAN LOCO
Voy buscando el placer de estar vivo,NO QUIERO VOLVERME TAN LOCO
no me importa si soy un bandido,NO QUIERO VOLVERME TAN LOCO
voy pateando basura en el callejón,NO QUIERO VOLVERME TAN LOCO
Yo no quiero volverme tan loco,NO QUIERO VOLVERME TAN LOCO
yo no quiero vestirme de rojo,NO QUIERO VOLVERME TAN LOCO
yo no quiero morir en el mundo hoy,NO QUIERO VOLVERME TAN LOCO
Yo no quiero ya verte tan triste,NO QUIERO VOLVERME TAN LOCO
yo no quiero saber lo que hiciste,NO QUIERO VOLVERME TAN LOCO
yo no quiero esta pena en mi corazón,NO QUIERO VOLVERME TAN LOCO
No le debo nada a Entel,TELEFÓNICA
me cuido la nariz,TELEFÓNICA
el silencio termina mañana,TELEFÓNICA
me voy a desvestir.,TELEFÓNICA
El tiempo que yo soñé,TELEFÓNICA
"es la eternidad, es la dulce fe",TELEFÓNICA
de que sigas conmigo por siempre,TELEFÓNICA
por siempre por aquí.,TELEFÓNICA
Y cuando encuentro un amigo,TELEFÓNICA
"lo tengo que buscar,",TELEFÓNICA
y voy al supermercado,TELEFÓNICA
buscando un capataz.,TELEFÓNICA
El sueño que yo soñé,TELEFÓNICA
es la humanidad,TELEFÓNICA
es la humanidad,TELEFÓNICA
el poeta tenía razón,TELEFÓNICA
la balsa hay que tomar.,TELEFÓNICA
"Córtenla, déjenos vivir en paz,",TELEFÓNICA
"sáquenla, sáquenla un poquito,",TELEFÓNICA
sáquenla un poquito.,TELEFÓNICA
Cuando vuelvo a mi casa temprano,TELEFÓNICA
me tengo que tomar,TELEFÓNICA
un litro de vino prestado,TELEFÓNICA
que no pienso pagar.,TELEFÓNICA
"El día que estoy aquí,",TELEFÓNICA
"ese amanecer, es dónde querer",TELEFÓNICA
y mirar tus ojos en naves,TELEFÓNICA
viajando hacia mí.,TELEFÓNICA
"Teléfono, tiráte ya del trampolín.",TELEFÓNICA
"Papelón, sacáte la gomina,",TELEFÓNICA
pelá la brillantina.,TELEFÓNICA
Ya no tengo monedas de nylon,TELEFÓNICA
perdí mi peluquín.,TELEFÓNICA
Me sigo pavimentando,TELEFÓNICA
y llegaré hasta el fin,TELEFÓNICA
"Alegría, quiero ver tu foto en los diarios",TELEFÓNICA
riéndote por qué.,TELEFÓNICA
Esto es parte de un mal sueño...,ME GUSTARIA SER NEGRO
Bailas como un puercoespín,ME GUSTARIA SER NEGRO
Girando a mi alrededor,ME GUSTARIA SER NEGRO
Sin tu amor soy un delfín,ME GUSTARIA SER NEGRO
Que no tiene monitor,ME GUSTARIA SER NEGRO
Si yo fuera un ciudadano de primera,ME GUSTARIA SER NEGRO
Amparado por una constitución,ME GUSTARIA SER NEGRO
Yo te podría decir que me cago en tu amor,ME GUSTARIA SER NEGRO
Y que me gustaría ser negro,ME GUSTARIA SER NEGRO
Y con mucho olor,ME GUSTARIA SER NEGRO
Entro solo al cabaret,ME GUSTARIA SER NEGRO
Veo lo que quería ver más,ME GUSTARIA SER NEGRO
El pescado de un ballet,ME GUSTARIA SER NEGRO
No paraba de sangrar,ME GUSTARIA SER NEGRO
Si estuviera enamorado por primera vez,ME GUSTARIA SER NEGRO
Quizás te podría alcanzar un algodón,ME GUSTARIA SER NEGRO
Pero no hay por aquí nada blanco mi amor,ME GUSTARIA SER NEGRO
Como me gustaría ser negro,ME GUSTARIA SER NEGRO
Y con mucho olor,ME GUSTARIA SER NEGRO
Hablando al pueblo por televisión.,ME GUSTARIA SER NEGRO
El se cansó de hacer canciones de protesta,CERO UNO (Transas)
y se vendió a Fiorucci.,CERO UNO (Transas)
El se cansó de andar haciendo apuestas,CERO UNO (Transas)
y se puso a estudiar.,CERO UNO (Transas)
un día se cortará el pelo,CERO UNO (Transas)
no creo que pueda dejar de fumar.,CERO UNO (Transas)
"Anda bolado,",CERO UNO (Transas)
"hace un poco de base,",CERO UNO (Transas)
pero no le va mal.,CERO UNO (Transas)
"No se alquiló  ni un guardaespaldas negro,",CERO UNO (Transas)
"no era Lennon ni Rucci,",CERO UNO (Transas)
Se preguntó por qué,CERO UNO (Transas)
"sus hijos nunca lo invitaban al bar,",CERO UNO (Transas)
un día volverá a las fuentes.,CERO UNO (Transas)
No creo que pueda dejar de protestar.,CERO UNO (Transas)
"Anda preocupado,",CERO UNO (Transas)
perdió algo de fama,CERO UNO (Transas)
pero no le va mal.,CERO UNO (Transas)
Transas.,CERO UNO (Transas)
(INSTRUMENTAL),ANGELICAL
"Estoy verde, no me dejan salir.",ME DEJAN SALIR
"estoy verde, no me dejan salir.",ME DEJAN SALIR
"No puedo largar, no puedo salir",ME DEJAN SALIR
no puedo sentir amor a este sentimiento,ME DEJAN SALIR
tengo que volverte a ver.,ME DEJAN SALIR
Tengo que volverte a ver,ME DEJAN SALIR
no puedo salir,ME DEJAN SALIR
por amor a este sentimiento.,ME DEJAN SALIR
"Estoy verde, no me dejan salir",ME DEJAN SALIR
"estoy verde, no me dejan salir.",ME DEJAN SALIR
"No puedo pensar, no puedo vivir",ME DEJAN SALIR
no puedo pensar si amor es un pensamiento,ME DEJAN SALIR
tengo que volverte a ver.,ME DEJAN SALIR
Tengo que volverte a ver,ME DEJAN SALIR
"no puedo perder, por amor a ese sentimiento.",ME DEJAN SALIR
Tengo que confiar en mi amor,ME DEJAN SALIR
tengo que confiar en mi sentimiento,ME DEJAN SALIR
tengo que confiar en mi amor,ME DEJAN SALIR
tengo que confiar en mi sentimiento.,ME DEJAN SALIR
Ya no sirve vivir para sufrir,ME DEJAN SALIR
"te das cuenta, sacate el mocasín.",ME DEJAN SALIR
"No puedo calmar, no puedo parir",ME DEJAN SALIR
no puedo esperar mil años que cambie el viento,ME DEJAN SALIR
tengo que volverte a ver.,ME DEJAN SALIR
Tengo que volverte a ver,ME DEJAN SALIR
"no puedo perder, por amor a ese sentimiento",ME DEJAN SALIR
Tengo que confiar en mi amor,ME DEJAN SALIR
tengo que confiar en mi sentimiento.,ME DEJAN SALIR
Están pasando demasiadas cosas raras,ESE DEFECTO
para que todo pueda seguir tan normal.,ESE DEFECTO
Desconfío de tu cara de informado,ESE DEFECTO
y de tu instinto de supervivencia.,ESE DEFECTO
Hace tiempo que no leo ni veo nada,ESE DEFECTO
porque me ofende que todo esté tan mal.,ESE DEFECTO
Y hasta las personas lindas me dan rabia,ESE DEFECTO
y los chicos y las chicas no hacen nada por cambiar.,ESE DEFECTO
Porque algún día se va a abrir esta trampa mortal,ESE DEFECTO
pero hasta entonces llevarás en tu cara una sombra.,ESE DEFECTO
Y yo te digo eh,ESE DEFECTO
bancate ese defecto,ESE DEFECTO
no es culpa tuya si la nariz no hace juego en tu cara.,ESE DEFECTO
Y yo te digo eh,ESE DEFECTO
bancate ese defecto,ESE DEFECTO
aunque te arregles las gomas nena,ESE DEFECTO
seguirás siendo rara.,ESE DEFECTO
"Mutilados, desnutridos,",ESE DEFECTO
"ojo de vidrio, muestra tu cicatriz",ESE DEFECTO
"marineros, maricones, embolsados,",ESE DEFECTO
bailan la danza de la inteligencia.,ESE DEFECTO
Están pasando demasiadas cosas raras,ESE DEFECTO
para que todo pueda seguir tan normal,ESE DEFECTO
Todo el mundo me conoce por la cara,ESE DEFECTO
todo el mundo se da cuenta por la forma de bailar.,ESE DEFECTO
Y yo te digo eh,ESE DEFECTO
bancate ese defecto,ESE DEFECTO
no es culpa tuya si la nariz no hace juego en tu cara.,ESE DEFECTO
Y yo te digo eh,ESE DEFECTO
bancate ese defecto,ESE DEFECTO
aunque te arregles las gomas nena,ESE DEFECTO
seguirás siendo rara.,ESE DEFECTO
No bombardeen Buenos Aires,BOMBARDÉEN BUENOS AIRES
no nos podemos defender.,BOMBARDÉEN BUENOS AIRES
Los pibes de mi barrio,BOMBARDÉEN BUENOS AIRES
se escondieron en los caños,BOMBARDÉEN BUENOS AIRES
espían al cielo,BOMBARDÉEN BUENOS AIRES
"usan cascos, curten mambos",BOMBARDÉEN BUENOS AIRES
escuchando a Clash.,BOMBARDÉEN BUENOS AIRES
Estoy temiendo al rubio ahora,BOMBARDÉEN BUENOS AIRES
no se a quién temeré después.,BOMBARDÉEN BUENOS AIRES
Terror y desconfianza por los juegos,BOMBARDÉEN BUENOS AIRES
"por las transas, por las canas",BOMBARDÉEN BUENOS AIRES
"por las panzas, por las ansias",BOMBARDÉEN BUENOS AIRES
por las rancias cunas de poder,BOMBARDÉEN BUENOS AIRES
cunas de poder,BOMBARDÉEN BUENOS AIRES
Si querés escucharé a la B.B.C.,BOMBARDÉEN BUENOS AIRES
aunque quieras que lo hagamos de noche,BOMBARDÉEN BUENOS AIRES
"y si quieres darme un beso alguna vez,",BOMBARDÉEN BUENOS AIRES
es posible que me suba a tu coche.,BOMBARDÉEN BUENOS AIRES
Pero no bombardeen Busnos Aires.,BOMBARDÉEN BUENOS AIRES
No quiero el mundo de Cinzano,BOMBARDÉEN BUENOS AIRES
no tengo que perder la fe,BOMBARDÉEN BUENOS AIRES
quiero treparte pero no pasa nada,BOMBARDÉEN BUENOS AIRES
ni siquiera puedo comerme un bife y sentirme bien.,BOMBARDÉEN BUENOS AIRES
Los ghurkas siguen avanzando,BOMBARDÉEN BUENOS AIRES
los viejos siguen en T.V.,BOMBARDÉEN BUENOS AIRES
los jefes de los chicos,BOMBARDÉEN BUENOS AIRES
toman whisky con los ricos,BOMBARDÉEN BUENOS AIRES
mientras los obreros hacen masa,BOMBARDÉEN BUENOS AIRES
en la Plaza como aquella vez,BOMBARDÉEN BUENOS AIRES
como aquella vez,BOMBARDÉEN BUENOS AIRES
Si querés escucharé a la B.B.C.,BOMBARDÉEN BUENOS AIRES
aunque quieras que lo hagamos de noche,BOMBARDÉEN BUENOS AIRES
"y si quieres darme un beso alguna vez,",BOMBARDÉEN BUENOS AIRES
es posible que me suba a tu coche.,BOMBARDÉEN BUENOS AIRES
Pero no bombardeen Barrio Norte!,BOMBARDÉEN BUENOS AIRES
No tengo agua en el calefón,DE VIDEOTAPE
no tengo que escribir canciones de amor.,DE VIDEOTAPE
No ves que espero resucitar,DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Ya llega aquél examen del bien y el mal.,DE VIDEOTAPE
Ya llegan las noticias cruzando el mar.,DE VIDEOTAPE
"No ves que el mundo gira al revés,",DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Este mundo exclamará por siempre,DE VIDEOTAPE
la película que vi una vez,DE VIDEOTAPE
y este mundo te dirá por siempre,DE VIDEOTAPE
que es mejor mirar a la pared.,DE VIDEOTAPE
Ya tienes las postales del Paraguay,DE VIDEOTAPE
ya tienes las valijas sobre el diván.,DE VIDEOTAPE
"Te vas, el mundo gira al revés",DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Este mundo exclamará por siempre,DE VIDEOTAPE
la película que vi una vez,DE VIDEOTAPE
y este mundo te dirá por siempre,DE VIDEOTAPE
que es mejor mirar a la pared.,DE VIDEOTAPE
Y si vas a la derecha,PEINADOS NUEVOS
"y cambiás hacia la izquierda, adelante.",PEINADOS NUEVOS
"Es mejor que estarse quieto,",PEINADOS NUEVOS
es mejor que ser un vigilante.,PEINADOS NUEVOS
Si me gustan las canciones de amor,PEINADOS NUEVOS
y me gustan esos raros peinados nuevos,PEINADOS NUEVOS
ya no quiero criticar,PEINADOS NUEVOS
sólo quiero ser un enfermero.,PEINADOS NUEVOS
Y si trabajás al pedo,PEINADOS NUEVOS
"y estás haciendo algo nuevo, adelante.",PEINADOS NUEVOS
Y si cantas a la luna,PEINADOS NUEVOS
"y perdés la vida en un instante,",PEINADOS NUEVOS
Si luchaste por un mundo mejor,PEINADOS NUEVOS
y te gustan esos raros peinados nuevos,PEINADOS NUEVOS
no quiero ver al doctor,PEINADOS NUEVOS
sólo quiero ver al enfermero.,PEINADOS NUEVOS
Dame un poquito de amor,PEINADOS NUEVOS
no quiero un toco.,PEINADOS NUEVOS
"Quiero algo de razón,",PEINADOS NUEVOS
no quiero un loco.,PEINADOS NUEVOS
apagá el televisor.,PEINADOS NUEVOS
Si lo que te gusta es gritar,PEINADOS NUEVOS
desenchufa el cable del parlante.,PEINADOS NUEVOS
El silencio tiene acción,PEINADOS NUEVOS
el más cuerdo es el más delirante.,PEINADOS NUEVOS
Me gustaban las canciones de amor,PEINADOS NUEVOS
me gustaban esos raros peinados nuevos,PEINADOS NUEVOS
"de chiquito fui aviador,",PEINADOS NUEVOS
pero ahora soy un enfermero.,PEINADOS NUEVOS
"Por favor,",SOBRE EL BIDET
no hagas promesas sobre el bidet,SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
no me abras más los sobres,SOBRE EL BIDET
"por favor,",SOBRE EL BIDET
yo te prometo te escribiré,SOBRE EL BIDET
si es que paras de correr,SOBRE EL BIDET
"Por favor,",SOBRE EL BIDET
sigue la sombra de mi bebé,SOBRE EL BIDET
